Tickers,PE_Ratio,Current_Price,Earnings_Per_Share
AMZN,57.57,3303.5,57.38
AAPL,29.19,148.89,5.1
GOOG,29.34,2767.79,93.074644
MSFT,36,289.81,8.05
NFLX,52.92,510.72,9.65
V,46.83,231.79,4.95
PYPL,66.97,274.59,4.1
MA,50.27,361.98,7.2
ADBE,54.87,634.35,11.56
INTC,11.92,53.54,4.49
CRM,52.4,248.39,4.74
AVGO,45.01,484.26,10.76
ACN,35.99,321.76,8.94
TXN,26.2,187.87,7.17
QCOM,18.37,147.15,8.01
ORCL,19.74,89.81,4.55
INTU,68.05,536.92,7.89
AMAT,26.92,129.22,4.8
AMD,37.5,106.5,2.84
NOW,693.34,581.57,0.8388
SQ,244.17,268.59,1.1
MU,19.41,70.25,3.62
FB,26.9,362.65,13.48
LRCX,24.67,583.51,23.65
ADP,35.4,214.9,6.07
